platform,keyword,video_id,comment
tiktok,viral,7622255372014734612,lườm bói kìa
tiktok,viral,7622255372014734612,AI mà
tiktok,viral,7622255372014734612,Khe
tiktok,viral,7622255372014734612,ở trên có nụ cười xinh tươi ở dưới có nụ cười xinh xắn ☺️☺️
tiktok,viral,7622255372014734612,Hêy
tiktok,viral,7622255372014734612,@cung đình hơi bá r đó
tiktok,viral,7623379862325153032,Nảy quá trời luôn ❤️❤️❤️
tiktok,viral,7623379862325153032,hâo kàn ⭐🥇👀
tiktok,viral,7623379862325153032,Vợ ❤️
tiktok,viral,7623379862325153032,rep em được không 🥰🥰
tiktok,viral,7623379862325153032,Quả déo sag TeIe bossqmh xô ok ó
tiktok,viral,7621945285303995681,Ahhhhhh 🤣🤣🤣🤣🤣
tiktok,viral,7622537521506946324,Chị xinh dọo
tiktok,viral,7622537521506946324,[Sticker] ôi tr chj ơi ôm ôm
tiktok,viral,7622537521506946324,dáng đẹp thế chia e ít 🥰🥰🥰
tiktok,viral,7622537521506946324,Trời ơi em iu chị
tiktok,viral,7622537521506946324,ráng lên rần 10k rồi sớm nhất có 10kplo nha
tiktok,viral,7622537521506946324,"@°𝘋𝘰𝘳𝘳𝘺 𝘛𝘦𝘢𝘮°🔮:💐Xin Chào mn🔮𝐃𝐎𝐑𝐑𝐘🐾𝐊𝐈𝐓𝐓𝐘🐾𝐓𝐄𝐀𝐌🪽 Đang tuyển dụng boss +qly và vv và chủ yếu là..
💌 TUYỂN THÀNH VIÊN 💌
Hello nàng 💖
Team đang tuyển thêm tv nè, nàng có muốn vào không ạ? 👀✨💘
Nàng chỉ cần có đam mê nhảy, vui vẻ hoà đồng,tốt bụng,mát mát,dễ thương 💘 🤭
💓Vào team là nàng được thể hiện đam mê nhảy của mình và ở lại với teamm dài lâu hơn ,mongg chờ câu trl của nàng 😙và có cả hoạt động,trend giống ng ta nữa ạ ai muốn 💐 tuyển nhầm cho nhóm xin lỗi rất nhiều ạ mong đc rep"
tiktok,viral,7622537521506946324,som nè | uoc dc zina acc cũ dc fl kbt acc này dc hong tar
tiktok,viral,7622537521506946324,nên ko tr
tiktok,viral,7622537521506946324,tim thứ 7000😂
tiktok,viral,7622537521506946324,"Kh biết haii con nhớ em hôm
với câu gọi là haii,
hai mà quênn chc e ???"
tiktok,viral,7622537521506946324,chị folow em đc k ạ 😢🤓😘
tiktok,viral,7622537521506946324,sớm chua a
tiktok,viral,7622537521506946324,fl chéo ạ
tiktok,viral,7622537521506946324,Bả cuốn kìaaaa
tiktok,viral,7622537521506946324,Cuốn
tiktok,viral,7622537521506946324,[Sticker] mê chị quá ạaa 🤭😳
tiktok,viral,7622537521506946324,Chị xinh dọo
tiktok,viral,7622537521506946324,cuonn quá 😭
tiktok,viral,7622537521506946324,[Sticker] ôi tr chj ơi ôm ôm
tiktok,viral,7622537521506946324,Để lại ấn tượng sâu sắc.
tiktok,viral,7622537521506946324,chị k mấy v ạ?
tiktok,viral,7622537521506946324,[Sticker] cute hột me
tiktok,viral,7622537521506946324,Ho vd ghimm
tiktok,viral,7622537521506946324,cho xin cái chân
tiktok,viral,7622537521506946324,Tí nx thì 🌚🌚
tiktok,viral,7622537521506946324,[Sticker] nuột thí 🥀
tiktok,viral,7622537521506946324,Nên tim ko
tiktok,viral,7622537521506946324,đc ả flo có khó không🫦🤗
tiktok,viral,7618220029485649182,TEA
tiktok,viral,7620458792299367700,A đã nghĩ ra tên của lũ trẻ 😄😄😄
tiktok,viral,7620458792299367700,Cực phẩm thì cũng có logo
tiktok,viral,7620458792299367700,xinh đẹp quá nàng ơi ❤️
tiktok,viral,7620458792299367700,Xuất sắc 😁
tiktok,viral,7620458792299367700,đẹp.
tiktok,viral,7620458792299367700,thì cám socola.
tiktok,viral,7620458792299367700,cực phẫm🥰🥰🥰🥰
